rule,style,score,pos,t_trades,t_win_rate,t_avg_return,t_median_return,t_total_compound,t_best,t_worst,m_months,m_avg_month_pct,m_median_month_pct,m_pct_months_ge_20,m_pct_months_gt_0,m_best_month_pct,m_worst_month_pct,m_months_ge_20
FMR_mfi14<30_pb<=0.25_none_none_h3_mid0_s0.1,mean_rev,16.96,2,1628,56.57248157248157,2.3815960256509543,1.6511468120454231,1904098157770.2644,100.0,-50.0,91,3.57,2.9,4.4,64.8,74.8,-20.65,4
FMR_mfi14<25_pb<=0.15_none_none_h4_mid1_s0.1,mean_rev,16.95,2,834,60.5515587529976,2.5493134278022285,2.1702861287348885,15941292.877592575,100.0,-50.0,90,2.73,2.58,1.1,66.7,26.45,-15.0,1
FMR_mfi6<20_pb<=0.15_none_none_h3_mid1_s0.07,mean_rev,16.92,2,1924,52.85862785862786,0.9422631737515367,0.685733216716411,-46.28217760793656,84.1765391954588,-50.0,91,3.2,3.75,6.6,60.4,42.62,-23.42,6
FMR_mfi14<25_pb<=0.15_none_none_h4_mid0_s0.1,mean_rev,16.9,2,833,57.98319327731093,3.164974280104181,2.0876786753749155,779253865.6143034,100.0,-50.0,91,2.37,3.27,2.2,64.8,26.78,-18.0,2
FMR_mfi14<25_pb<=0.15_none_none_h4_mid1_s0.07,mean_rev,16.84,1,844,59.95260663507109,2.552470782897968,2.0547258073608687,18915730.930038128,100.0,-50.0,90,4.06,3.66,5.6,63.3,56.01,-32.41,5
FMR_mfi14<30_pb<=0.15_none_none_h4_mid1_s0.07,mean_rev,16.63,2,1259,59.09451945988881,2.430923818704173,2.103243191946147,3431448221.5782604,100.0,-50.0,91,3.27,2.22,4.4,63.7,37.07,-14.17,4
FMR_mfi13<30_pb<=0.25_none_none_h2_mid0_s0.1,mean_rev,16.55,2,1936,52.73760330578512,1.1294071781042245,0.6024225990945986,315097.5803969622,100.0,-50.0,91,3.07,3.08,4.4,68.1,28.92,-21.62,4
FMR_mfi13<30_pb<=0.25_none_none_h2_mid1_s0.1,mean_rev,16.55,2,1936,52.73760330578512,1.1294071781042245,0.6024225990945986,315097.5803969622,100.0,-50.0,91,3.07,3.08,4.4,68.1,28.92,-21.62,4
FMR_mfi13<20_pb<=0.15_none_none_h4_mid1_s0.1,mean_rev,16.55,2,638,59.09090909090909,1.8968266422008773,1.943193919273667,7667.401476899201,99.33862433862434,-50.0,90,2.59,2.77,1.1,61.1,23.17,-14.7,1
FWALK_mfi14>=60_pb>=0.7_mup0_h2,band_walk,16.49,2,3658,49.179879715691634,1.8546764656918826,-0.1435630569113444,5.59474530691755e+19,100.0,-50.0,91,4.81,2.97,13.2,63.7,53.86,-27.65,12
FMR_mfi14<30_pb<=0.15_none_none_h3_mid0_s0.07,mean_rev,16.45,2,1270,57.48031496062992,2.5461918534604364,1.8977562243482016,20348278587.47127,100.0,-50.0,91,3.65,1.99,5.5,64.8,41.8,-14.96,5
FWALK_mfi14>=50_pb>=0.7_mup0_h2,band_walk,16.38,2,4065,49.69249692496925,1.845052635305433,-6.859176604478989e-06,1.5505330112610307e+22,100.0,-50.0,91,4.47,2.98,11.0,61.5,50.67,-25.37,10
FWALK_mfi14>=60_pb>=0.85_mup1_h4,band_walk,16.35,2,2384,45.97315436241611,2.5897122960061565,-0.9274124190126687,3.0848560182216892e+16,100.0,-50.0,91,4.15,2.47,9.9,60.4,56.69,-16.44,9
FMR_mfi6<30_pb<=0.15_none_none_h4_mid0_s0.1,mean_rev,16.3,1,2331,53.925353925353924,2.226528237609898,0.9554066074743295,4667045020589.32,100.0,-50.0,91,5.12,1.67,12.1,54.9,54.4,-14.96,11
FSQ_mfi14>=50_brk0_mup0_h2_s0.12,squeeze_break,16.3,1,1933,48.16347646145887,1.3380631614922063,-0.30425963488843744,32403846.01263554,100.0,-50.0,90,6.4,1.95,13.3,58.9,114.21,-25.11,12
FSQ_mfi14>=50_brk0_mup0_h2_s0.08,squeeze_break,16.3,1,1933,48.11174340403518,1.304830947719981,-0.30425963488843744,21020163.210331418,100.0,-50.0,90,6.4,1.95,13.3,58.9,114.21,-25.11,12
FMR_mfi14<30_pb<=0.25_none_none_h3_mid1_s0.1,mean_rev,16.27,2,1628,56.32678132678133,1.936255276622649,1.3591673755393163,4631082917.9168215,100.0,-50.0,91,3.12,2.89,5.5,63.7,75.45,-20.65,5
FMR_mfi13<25_pb<=0.15_none_none_h2_mid0_s0.07,mean_rev,16.24,1,1051,53.948620361560415,0.7016874667675391,1.005016760736055,-64.54906726452145,55.04762970081234,-50.0,89,3.74,2.36,11.2,66.3,61.2,-19.57,10
FMR_mfi13<25_pb<=0.15_none_none_h2_mid1_s0.07,mean_rev,16.24,1,1051,53.948620361560415,0.7016874667675391,1.005016760736055,-64.54906726452145,55.04762970081234,-50.0,89,3.74,2.36,11.2,66.3,61.2,-19.57,10
FMR_mfi13<30_pb<=0.25_none_none_h4_mid1_s0.07,mean_rev,16.06,2,1819,56.239692138537656,2.102397079077704,1.453963159615057,93587210006.2441,100.0,-50.0,91,3.12,3.64,12.1,60.4,46.33,-27.54,11
FMR_mfi14<25_pb<=0.25_none_none_h2_mid1_s0.1,mean_rev,15.97,2,1135,55.06607929515418,0.9419265702603725,0.8995376455290582,705.6398603932533,100.0,-50.0,90,2.97,2.39,4.4,67.8,29.52,-17.82,4
FMR_mfi14<25_pb<=0.25_none_none_h2_mid0_s0.1,mean_rev,15.97,2,1135,55.06607929515418,0.9419265702603725,0.8995376455290582,705.6398603932533,100.0,-50.0,90,2.97,2.39,4.4,67.8,29.52,-17.82,4
FSQ_mfi6>=45_brk0_mup1_h2_s0.12,squeeze_break,15.82,2,1749,47.34133790737564,1.3320484504553207,-0.437735131629724,6275356.415248124,100.0,-50.0,90,4.05,3.46,13.3,61.1,44.66,-29.28,12
FSQ_mfi6>=45_brk0_mup0_h4_s0.08,squeeze_break,15.76,1,1936,46.28099173553719,1.8647568693285002,-0.7235863141713927,6916265266.442956,100.0,-50.0,90,5.97,1.98,12.2,61.1,100.0,-25.89,11
FMR_mfi6<30_pb<=0.25_none_none_h4_mid1_s0.1,mean_rev,15.74,1,2944,56.35190217391305,1.776336044698675,1.331318218000066,2154911955215.2173,100.0,-50.0,91,4.21,3.19,8.8,57.1,73.03,-29.54,8
FMR_mfi14<30_pb<=0.15_none_none_h4_mid0_s0.1,mean_rev,15.66,2,1242,58.69565217391305,3.2756510148565052,2.4171358799952247,11010097873647.502,100.0,-50.0,91,3.06,2.46,6.6,67.0,46.87,-21.65,6
FMR_mfi13<20_pb<=0.15_none_none_h4_mid1_s0.07,mean_rev,15.51,2,642,58.09968847352025,1.8760909570317266,1.6842098860413879,8917.644535423597,99.33862433862434,-50.0,90,2.6,2.94,2.2,64.4,26.62,-22.91,2
FMR_mfi13<30_pb<=0.15_none_none_h4_mid1_s0.1,mean_rev,15.5,2,1385,58.628158844765345,2.5023173929238864,1.9169370336842295,18547178807.6862,100.0,-50.0,91,2.85,3.0,3.3,65.9,24.72,-25.98,3
FMR_mfi14<25_pb<=0.15_none_none_h3_mid1_s0.07,mean_rev,15.48,2,854,58.66510538641686,2.1374909685974055,1.6842123629559835,1272737.4498955419,100.0,-50.0,90,2.92,2.28,3.3,64.4,56.05,-18.59,3
FMR_mfi13<30_pb<=0.15_none_none_h2_mid1_s0.1,mean_rev,15.4,1,1471,53.025152957172,1.0378564118984372,0.677977629105575,2769.5767225106397,100.0,-50.0,91,3.86,2.66,8.8,61.5,49.07,-24.71,8
FMR_mfi13<30_pb<=0.15_none_none_h2_mid0_s0.1,mean_rev,15.4,1,1471,53.025152957172,1.0378564118984372,0.677977629105575,2769.5767225106397,100.0,-50.0,91,3.86,2.66,8.8,61.5,49.07,-24.71,8
FMR_mfi6<25_pb<=0.15_none_none_h4_mid0_s0.1,mean_rev,15.38,1,2069,53.11744804253262,2.1315505613593237,0.8695598894622236,15887899790.212227,100.0,-50.0,91,5.58,1.53,6.6,59.3,203.08,-22.78,6
